goos: darwin
goarch: arm64
pkg: github.com/jub0bs/errutil
cpu: Apple M4
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        28.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        26.63 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=wrapper_that_contains_match-10            	   10000	        26.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	         9.121 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	         9.121 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	         9.062 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	         8.983 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	         9.121 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	        10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	         9.067 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	         8.879 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	         8.817 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=wrapper_that_contains_match-10          	   10000	         9.083 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=deeply_nested_wrapper_that_contains_match-10         	   10000	       110.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=deeply_nested_wrapper_that_contains_match-10         	   10000	       108.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=deeply_nested_wrapper_that_contains_match-10         	   10000	       108.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=deeply_nested_wrapper_that_contains_match-10         	   10000	       111.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=deeply_nested_wrapper_that_contains_match-10         	   10000	       109.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=deeply_nested_wrapper_that_contains_match-10         	   10000	       111.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=deeply_nested_wrapper_that_contains_match-10         	   10000	       111.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=deeply_nested_wrapper_that_contains_match-10         	   10000	       109.8 ns/op	      16 B/op	       1 allocs/op
